image,caption
http://images.cocodataset.org/val2014/COCO_train2014_000000119171.jpg,A white cat sits below a boot filled shoe rack.
http://images.cocodataset.org/val2014/COCO_train2014_000000119171.jpg,A white cat curled up amongst black shoes in a closet.
http://images.cocodataset.org/val2014/COCO_train2014_000000119171.jpg,There is a white cat sitting under a shoe rack.
http://images.cocodataset.org/val2014/COCO_train2014_000000119171.jpg,A white cat laying on the ground under a shoe rack.
http://images.cocodataset.org/val2014/COCO_train2014_000000119171.jpg,A cat laying underneath a rack for shoes.
http://images.cocodataset.org/val2014/COCO_train2014_000000195265.jpg,A small bathroom filled with a sink next to a window.
http://images.cocodataset.org/val2014/COCO_train2014_000000195265.jpg,A dated bathroom looks elegant with the right touch of color and lighting.
http://images.cocodataset.org/val2014/COCO_train2014_000000195265.jpg,A small quaint bathroom dimly lit with a radiator heater.
http://images.cocodataset.org/val2014/COCO_train2014_000000195265.jpg,The light over the bathroom sink are on.
http://images.cocodataset.org/val2014/COCO_train2014_000000195265.jpg,A pedestal sink and radiator in a small bathroom.
http://images.cocodataset.org/val2014/COCO_val2014_000000065443.jpg,a dog with spots on a bed and a stuffed animal.
http://images.cocodataset.org/val2014/COCO_val2014_000000065443.jpg,A small, cute dog on a bed with a dog toy.
http://images.cocodataset.org/val2014/COCO_val2014_000000065443.jpg,A dog sits on a bed with a toy.
http://images.cocodataset.org/val2014/COCO_val2014_000000065443.jpg,A dog that is sitting on a bed.
http://images.cocodataset.org/val2014/COCO_val2014_000000065443.jpg,A dog with a stuffed animal sitting on a bed.
http://images.cocodataset.org/val2014/COCO_val2014_000000227218.jpg,A black and white cat is near a little dead bird on the sidewalk.
http://images.cocodataset.org/val2014/COCO_val2014_000000227218.jpg,A cat wearing a bib and playing with a mouse.
http://images.cocodataset.org/val2014/COCO_val2014_000000227218.jpg,A cat in what seems to be a bib is kills a bird.
http://images.cocodataset.org/val2014/COCO_val2014_000000227218.jpg,A cat playing with an attacked wild bird on a sidewalk.
http://images.cocodataset.org/val2014/COCO_val2014_000000227218.jpg,A cat attacking a bird on the sidewalk.
http://images.cocodataset.org/val2014/COCO_train2014_000000000821.jpg,A black and white photograph of two men on side of the road.
http://images.cocodataset.org/val2014/COCO_train2014_000000000821.jpg,Two men by a church and a parking lot.
http://images.cocodataset.org/val2014/COCO_train2014_000000000821.jpg,an old black and white photo of two people.
http://images.cocodataset.org/val2014/COCO_train2014_000000000821.jpg,Two men standing near each other by some parked cars.
http://images.cocodataset.org/val2014/COCO_train2014_000000000821.jpg,Two men outside near a car and moving a cart of some sort.
http://images.cocodataset.org/val2014/COCO_val2014_000000080953.jpg,A photo of two are at a wine tasting event.
http://images.cocodataset.org/val2014/COCO_val2014_000000080953.jpg,A couple of people are at a bar with their wine glasses.
http://images.cocodataset.org/val2014/COCO_val2014_000000080953.jpg,A man and a woman that are holding wine glasses.
http://images.cocodataset.org/val2014/COCO_val2014_000000080953.jpg,A emo girl standing next to a man at a bar.
http://images.cocodataset.org/val2014/COCO_train2014_000000211570.jpg,Several donuts on a plate with a coffee mug next to them.
http://images.cocodataset.org/val2014/COCO_train2014_000000211570.jpg,A plate filled with donuts next to a cup of coffee.
http://images.cocodataset.org/val2014/COCO_train2014_000000211570.jpg,A plate hold Tim Horton's donuts and coffee.
http://images.cocodataset.org/val2014/COCO_train2014_000000211570.jpg,A plate of doughnuts and a cup of coffee.
http://images.cocodataset.org/val2014/COCO_train2014_000000211570.jpg,These are doughnuts and coffee from Tim Hortons.
http://images.cocodataset.org/val2014/COCO_val2014_000000475301.jpg,Skiers doing stunts over a hill of snow.
http://images.cocodataset.org/val2014/COCO_val2014_000000475301.jpg,A man skiing on a slope with snow.
http://images.cocodataset.org/val2014/COCO_val2014_000000475301.jpg,a man on a snow mobile watching a skier.
http://images.cocodataset.org/val2014/COCO_val2014_000000475301.jpg,Motion capture photograph of a person doing trick on skis.
http://images.cocodataset.org/val2014/COCO_val2014_000000475301.jpg,A person jumps on a snow hill on skis.
http://images.cocodataset.org/val2014/COCO_train2014_000000226517.jpg,A kitchen with a wooden kitchen table and appliances in it.
http://images.cocodataset.org/val2014/COCO_train2014_000000226517.jpg,A kitchen has a wooden table and capinets.
http://images.cocodataset.org/val2014/COCO_train2014_000000226517.jpg,A kitchen scene with a dining room table and chairs.
http://images.cocodataset.org/val2014/COCO_train2014_000000226517.jpg,A kitchen with wooden drawers, table, chairs and stone counter tops.
http://images.cocodataset.org/val2014/COCO_train2014_000000226517.jpg,a kitchen with a table and chairs and various kitchen appliances.
http://images.cocodataset.org/val2014/COCO_train2014_000000233871.jpg,A group of young ladies sitting around a table sharing a meal.
http://images.cocodataset.org/val2014/COCO_train2014_000000233871.jpg,Group of women sitting around a restaurant table eating.
http://images.cocodataset.org/val2014/COCO_train2014_000000233871.jpg,A group of women sit at a table in a restaurant with their food.
http://images.cocodataset.org/val2014/COCO_train2014_000000233871.jpg,A group of women smile at the camera as they eat a meal.
http://images.cocodataset.org/val2014/COCO_train2014_000000137341.jpg,A group of men in suits next to the Lincoln Memorial.
http://images.cocodataset.org/val2014/COCO_train2014_000000137341.jpg,A group of young men in suits posing in front of the Lincoln memorial.
http://images.cocodataset.org/val2014/COCO_train2014_000000137341.jpg,A group of men in suits pose at the Lincoln Memorial.
http://images.cocodataset.org/val2014/COCO_train2014_000000137341.jpg,A group of men in suits in front of the Lincoln Memorial.
http://images.cocodataset.org/val2014/COCO_train2014_000000137341.jpg,A group of seven men standing and sitting in front of a statue of Abraham Lincoln.
http://images.cocodataset.org/val2014/COCO_train2014_000000382148.jpg,The giraffes are walking together in the desert.
http://images.cocodataset.org/val2014/COCO_train2014_000000382148.jpg,a number of giraffes walking on a flat land with mountains in the background.
http://images.cocodataset.org/val2014/COCO_train2014_000000382148.jpg,Several giraffes walking in a straight line in a barren desert near a mountain range.
http://images.cocodataset.org/val2014/COCO_train2014_000000382148.jpg,A group of giraffe walking through a dry area.
http://images.cocodataset.org/val2014/COCO_train2014_000000382148.jpg,Giraffes live in a large sandy area close to a mountain range.
http://images.cocodataset.org/val2014/COCO_train2014_000000124473.jpg,there is a small black clock on a black pole on the street.
http://images.cocodataset.org/val2014/COCO_train2014_000000124473.jpg,A large clock on a pole on a street.
http://images.cocodataset.org/val2014/COCO_train2014_000000124473.jpg,A huge clock is in the center of this street.
http://images.cocodataset.org/val2014/COCO_train2014_000000124473.jpg,A clock on the side of a street next to parked cars.
http://images.cocodataset.org/val2014/COCO_train2014_000000124473.jpg,shadow of a man taking photo of a clock on a street.
http://images.cocodataset.org/val2014/COCO_train2014_000000108140.jpg,A large group of people and children gather around some doughnut boxes.
http://images.cocodataset.org/val2014/COCO_train2014_000000108140.jpg,A bunch of people that are sitting in front of a box of doughnuts.
http://images.cocodataset.org/val2014/COCO_train2014_000000108140.jpg,A group of people under a canopy looking at boxes of doughnuts on tables.
http://images.cocodataset.org/val2014/COCO_train2014_000000108140.jpg,a group people anxiously awaiting doughnuts at a rally.
http://images.cocodataset.org/val2014/COCO_train2014_000000108140.jpg,Some kids reaching for some doughnuts in a box.
http://images.cocodataset.org/val2014/COCO_train2014_000000086555.jpg,A livingroom with two chairs, a coffee table, and two open suitcases.
http://images.cocodataset.org/val2014/COCO_train2014_000000086555.jpg,A fan is featured in a living room space with floral chairs.
http://images.cocodataset.org/val2014/COCO_train2014_000000086555.jpg,a room with an electric rotating fan near furniture.
http://images.cocodataset.org/val2014/COCO_train2014_000000086555.jpg,Living room  with a table, fan, book shelf, and book bags.
http://images.cocodataset.org/val2014/COCO_train2014_000000086555.jpg,A living room has a colorful sofa and chair.
http://images.cocodataset.org/val2014/COCO_train2014_000000513850.jpg,this is a small dog in a living room.
http://images.cocodataset.org/val2014/COCO_train2014_000000513850.jpg,A dog stares back from a cushion next to the wall.
http://images.cocodataset.org/val2014/COCO_train2014_000000513850.jpg,The small dog is sitting on the overturned couch.
http://images.cocodataset.org/val2014/COCO_train2014_000000513850.jpg,The dog is resting on the small pet bed.
http://images.cocodataset.org/val2014/COCO_train2014_000000513850.jpg,A puppy dog sits cuddled up on a bed in a corner.
http://images.cocodataset.org/val2014/COCO_train2014_000000465017.jpg,A mother and her son look at a fruit stand.
http://images.cocodataset.org/val2014/COCO_train2014_000000465017.jpg,People shopping at an open air market.
http://images.cocodataset.org/val2014/COCO_train2014_000000465017.jpg,An open air fruit market with people standing at a vendor.
http://images.cocodataset.org/val2014/COCO_train2014_000000465017.jpg,a woman and child checking out a display of food on an outdoor table.
http://images.cocodataset.org/val2014/COCO_train2014_000000465017.jpg,An open air market in a city street.
http://images.cocodataset.org/val2014/COCO_val2014_000000126163.jpg,A child sits at a table with stuffed toys.
http://images.cocodataset.org/val2014/COCO_val2014_000000126163.jpg,A little girl in a store playing with four large white Teddy bears.
http://images.cocodataset.org/val2014/COCO_val2014_000000126163.jpg,there are many stuffed animals sitting at a table.
http://images.cocodataset.org/val2014/COCO_val2014_000000126163.jpg,A LITTLE GIRL AT A TABLE SURROUNDED BY FOUR BIG TEDDY BEARS.
http://images.cocodataset.org/val2014/COCO_val2014_000000126163.jpg,A lady and child at a table with some very big stuffed bears.
http://images.cocodataset.org/val2014/COCO_train2014_000000068996.jpg,a giraffe is standing in a dirt field.
http://images.cocodataset.org/val2014/COCO_train2014_000000068996.jpg,A giraffe is walking near some wooden posts outdoors.
http://images.cocodataset.org/val2014/COCO_train2014_000000068996.jpg,A giraffe walking on a dirt road.
http://images.cocodataset.org/val2014/COCO_train2014_000000068996.jpg,A giraffe is walking beside a tall wooden structure.
http://images.cocodataset.org/val2014/COCO_train2014_000000068996.jpg,A giraffe walking in the dirt near poles and grass in the sun.
http://images.cocodataset.org/val2014/COCO_train2014_000000254042.jpg,A life guard tower sitting on a crowded beach next to the ocean.
http://images.cocodataset.org/val2014/COCO_train2014_000000254042.jpg,A lifeguard sitting underneath an umbrella on the beach.
http://images.cocodataset.org/val2014/COCO_train2014_000000254042.jpg,Group of people on the beach next to a life guard stand.
http://images.cocodataset.org/val2014/COCO_train2014_000000254042.jpg,A lifeguard watching the ocean to ensure the safety of the beach patrons.
http://images.cocodataset.org/val2014/COCO_train2014_000000254042.jpg,Person sitting on lifeguard tower under red umbrella.
http://images.cocodataset.org/val2014/COCO_train2014_000000313720.jpg,A man in a green shirt standing in a field.
http://images.cocodataset.org/val2014/COCO_train2014_000000313720.jpg,Worker standing in the grass with a shovel next to a street sign and a fire hydrant.
http://images.cocodataset.org/val2014/COCO_train2014_000000313720.jpg,A man is standing outside by a street sign.
http://images.cocodataset.org/val2014/COCO_train2014_000000313720.jpg,a man in a yellow shirt standing next to a pedestrian sign.
http://images.cocodataset.org/val2014/COCO_train2014_000000313720.jpg,A man holds gardening tools near a landscaped area.
http://images.cocodataset.org/val2014/COCO_val2014_000000243773.jpg,Many cleaning products are on the kitchen island.
http://images.cocodataset.org/val2014/COCO_val2014_000000243773.jpg,A kitchen counter top has wine bottles and cleaning products.
http://images.cocodataset.org/val2014/COCO_val2014_000000243773.jpg,A kitchen counter that has a wine bottle and cleaning supplies on it.
http://images.cocodataset.org/val2014/COCO_val2014_000000243773.jpg,A center island in a kitchen covered in lots of clutter.
http://images.cocodataset.org/val2014/COCO_val2014_000000243773.jpg,A kitchen island has cleaning products on it.
http://images.cocodataset.org/val2014/COCO_train2014_000000539647.jpg,A woman holding a cake with her left hand.
http://images.cocodataset.org/val2014/COCO_train2014_000000539647.jpg,A person in a sweater carrying food on a tray.
http://images.cocodataset.org/val2014/COCO_train2014_000000539647.jpg,A woman holding a giant doughnut in her left hand.
http://images.cocodataset.org/val2014/COCO_train2014_000000539647.jpg,A woman is balancing a cake on her arm.
http://images.cocodataset.org/val2014/COCO_train2014_000000539647.jpg,A woman is holding a cake at a socail gathering.
http://images.cocodataset.org/val2014/COCO_val2014_000000468457.jpg,A pizza sitting inside of a cardboard box covered in toppings.
http://images.cocodataset.org/val2014/COCO_val2014_000000468457.jpg,This pizza has boiled eggs and onions on it.
http://images.cocodataset.org/val2014/COCO_val2014_000000468457.jpg,A half of a pizza with mushroom, onions, ham and eggs.
http://images.cocodataset.org/val2014/COCO_val2014_000000468457.jpg,a half eaten ham egg onion and black olives pizza.
http://images.cocodataset.org/val2014/COCO_val2014_000000468457.jpg,Since when does pizza include deviled eggs and ripe olives?.
http://images.cocodataset.org/val2014/COCO_train2014_000000229156.jpg,A STOP sign with graffiti on it in front of a street with cars parallel parked.
http://images.cocodataset.org/val2014/COCO_train2014_000000229156.jpg,a stop sign and a street sign covered in graffiti.
http://images.cocodataset.org/val2014/COCO_train2014_000000229156.jpg,A stop sign is vandalized to say Don't Stop Belivin.
http://images.cocodataset.org/val2014/COCO_train2014_000000229156.jpg,Stop sign with the words "Don't Stop Believin!" written on it.
http://images.cocodataset.org/val2014/COCO_train2014_000000229156.jpg,Street signs, including a stop sign, where someone wrote "Don't stop believin!".
http://images.cocodataset.org/val2014/COCO_val2014_000000234590.jpg,a bathroom with towels , lights, and a sink that is clean.
http://images.cocodataset.org/val2014/COCO_val2014_000000234590.jpg,A clean and modern looking bathroom with an unique light.
http://images.cocodataset.org/val2014/COCO_val2014_000000234590.jpg,Modern bathroom sink and mirror in a hotel.
http://images.cocodataset.org/val2014/COCO_val2014_000000234590.jpg,A bathroom looks dark with a big light on.
http://images.cocodataset.org/val2014/COCO_val2014_000000234590.jpg,A modern hotel bathroom is shown in dim lighting.
http://images.cocodataset.org/val2014/COCO_train2014_000000101594.jpg,A little girl standing next to her father on a beach.
http://images.cocodataset.org/val2014/COCO_train2014_000000101594.jpg,an image of a family playing on the beach.
http://images.cocodataset.org/val2014/COCO_train2014_000000101594.jpg,A man is flying a kite on the beach with a young child.
http://images.cocodataset.org/val2014/COCO_train2014_000000101594.jpg,an older person holding a kite with a young child reaching up.
http://images.cocodataset.org/val2014/COCO_train2014_000000101594.jpg,Child in a bathing suit at the beach reaching for a kite help by an adult.
